id;petani_id;qty;produk;mt
9bcca69c-ce8f-4567-8324-631038f39322;b773cbac-993f-425d-ba69-29252ea24a40;225;urea;1
63f7dc2d-69bd-4438-949f-9ccde85f09f4;5bc06ffc-e9ae-44b1-8a92-35c1ec21954b;112;urea;1
49a30762-3f5b-4421-84e8-b6e8983c738e;ab9396af-8bd6-41f0-a5b2-cf36ace0f75a;225;urea;1
d07011b8-5ee4-4c06-b933-981fc8c367f0;8b400897-2fd7-4ab3-8f5f-d03e6eee4ff6;225;urea;1
293e7bcc-5e7a-4a22-89ac-48b376389760;0c56d8da-ddb3-47d6-9f70-edeb22f35888;225;urea;1
4ee7af23-2bc2-4bb0-b61c-85619e78548e;062533dd-49bb-4f2c-b3a5-634d33b224de;225;urea;1
30ffdfa5-0e4b-43b0-bd67-6d58bdfef555;fcc957f3-73d5-4f6a-ad0d-a73ee4454673;225;urea;1
3ee453f8-4a88-44ba-a729-824d6e48e08c;fd9155c0-819e-4a52-88a4-6f6a7f266273;225;urea;1
cc56915f-4d68-49ea-bc93-2921a39ff5c6;8a0a8cbc-c10d-4dd2-a18b-ae24331cc7fc;225;urea;1
f99183d5-3bfa-4300-b66c-831222b35ef1;86d4bc2b-50c3-4407-8f53-f1bdaf02f99e;225;urea;1
51860570-eff0-44be-b7ba-05a8c1bbd56d;cb40b629-5ced-4fbb-aa69-c8b252d91540;225;urea;1
4b8abbf7-cd27-4d95-bc52-55b9dcdb5c41;219c36d5-da7d-4347-9b78-f6b50278e4be;225;urea;1
f2cebbde-96da-4a6e-a22c-b40a26ee9e20;610ad918-94d7-42ff-8d4a-3ca72e6942f9;225;urea;1
69aaf350-86cf-4df3-8ca0-88c3e18d1667;9836d86e-3516-4bca-b1b3-32def9d80bd6;225;urea;1
f86d0b68-8b96-442e-a434-f4b84a11cbb0;f587e181-7089-475f-83df-530c7f72fff6;112;urea;1
a2561424-d339-4a22-b72a-dc4c43b08687;475960ea-d51f-4076-97ce-354e57549d49;112;urea;1
d6f91a3f-ae66-4c76-8438-84ed44c87bfd;1186e96f-e8cb-4811-874c-c23951e9538a;225;urea;1
124ea190-89bf-41a0-92bd-6a661c2e5f94;1841784e-0df9-4975-8fc4-55a3be8c6199;112;urea;1
5218b267-1efb-466e-ac74-039c9db6b163;5647c95a-fad8-46f6-b529-9ed46cac92b3;112;urea;1
a34db9b8-cae7-469b-a444-9e0ad2c15f24;febbe8f6-2322-40b9-b650-0792891766b8;225;urea;1
87a4a6bb-437d-4355-ac79-287271276ce0;cb778525-86dc-405a-b365-bee83fbc26d7;112;urea;1
62798cd1-0e86-4014-bcf5-4ad6fc61d0db;a9cdc8ac-0224-4916-8236-95f310e4a349;112;urea;1
143f5387-ffd1-4e67-a9ae-61ba96936aa9;4ed1e4da-9e9a-4ea4-945f-6165e32c3806;225;urea;1
fe7fbdd6-bcd8-459a-9d91-9f701acf5e75;ff5962b7-6907-428e-9471-913b0ea7b527;112;urea;1
2c66c898-a13e-4696-9eda-a2e66d6636ea;a53ab081-4526-4a41-8009-7f4b3b42125f;112;urea;1
4b85ecc4-1531-41ac-8ffa-5bc5549194ba;a27dd22f-5db4-4313-b89c-a0c31ebf73f8;112;urea;1
2e819933-32ce-4f13-938d-fe67b2d442c8;0026fb3d-22c9-4e38-a289-e575c9a69454;112;urea;1
a17c8d82-ffe9-46cc-98fe-6b6552038a3b;3104ec0a-e504-4f2c-872d-e546e407cb69;112;urea;1
c245b2cb-e2c8-40d0-9b0a-263d42521e25;59ae7a5f-6d49-4741-b14d-5772127d02aa;112;urea;1
23720847-1c77-403a-ba8c-1b11a757b268;4c75c1f5-e0ba-4d1d-a2c7-289960030a09;112;urea;1
f0fd876d-5b62-498f-95c1-56aa697b66d1;b1508079-71f8-4181-9e09-7653a4440349;112;urea;1
01f560d4-e315-48b1-94ec-cdf9869b5b86;7ec710f4-9c8e-4427-b883-d378dc26d687;112;urea;1
26fc46f9-51ef-4eac-9793-b0a132c3db8b;840efe0d-4ab0-4e66-9003-ee91356ec947;225;urea;1
813de8c8-ed2f-4f87-b55f-f5f6ba414a00;52d0ec01-d0f2-4189-8bad-fa8309d3ca9f;225;urea;1
1cf1e6e1-01c9-4d3d-836a-7f19ba47f7bd;1d17a7c2-aa68-4a1b-a6b2-2e83faba3716;225;urea;1
e2532b43-68b7-4544-86e7-15f130141f84;e80c2a58-ca6e-4c0f-89fe-26a64952e768;225;urea;1
cf003d46-56e8-4a1f-9855-86c807687e2a;de7ff229-3ebd-44c1-a89d-b4ec9df536f0;225;urea;1
3903cfbd-6d3d-481d-a0b0-297d0301c796;ad148c93-c0e2-4b29-b083-2a7fcadb2b91;225;urea;1
6d660077-d7b6-4ea8-b538-a4017d2e5279;d0d1f2b9-4866-4455-b282-8d53c44f7abc;225;urea;1
15654fcc-c821-4b74-8840-837094200219;c4aa0898-6ccc-4961-b879-c6d7eea1397e;225;urea;1
c8489418-19f7-4bb0-be21-9e86384db1ed;85e8dc7b-04cb-4639-abfc-732e17bffcad;225;urea;1
e03e4835-48e6-44d6-a8a1-949b27bca655;1497a2f0-ab7e-4c65-965c-f8aa3794304a;225;urea;1
944d0403-5aa8-4cf7-aa93-3d28137dd6c7;e89e0411-4521-4c52-9382-d5a042059ba0;225;urea;1
9a1e7a0d-7935-4951-bee0-ef0de7a72eee;60657b41-8d02-40b4-b163-4ffbaab73bf5;225;urea;1
581c84e5-d79a-4172-bdff-02903ca0c651;65b2983a-5ed9-4223-9841-f859fa48156a;225;urea;1
7d466cf5-ccaf-44d7-8c03-96fa9b894a4d;bb590769-334f-4e68-95ac-2e3a94cd11c2;225;urea;1
7a7500b3-be5a-44de-833c-24c8825cebb5;77e7924c-fd7c-4ba8-879e-b89ae296fc50;225;urea;1
4e274771-4cf0-4cd8-8984-4052cef6d9f4;4e1c8916-0e1c-4f49-84b4-18de4b5a594e;225;urea;1
1b442ddf-e0d0-4348-990e-0d319aac5cea;feea70dc-5d2b-4256-98bb-0c7b1209c3fc;225;urea;1
49e65944-82c6-4687-a0e7-e821b1d04e7a;afe3e544-216d-4123-9744-165d39ac52c5;225;urea;1
8a4635cd-40d4-4367-af8b-7ec7eb42fc64;96c2c143-7a03-4b2b-83bc-f088d4be8759;225;urea;1
1f5c7591-459c-4b8c-92c4-1892062d02a8;9c2d8825-afcc-4a0d-8e1c-6f4da4927c3c;225;urea;1
